sentence,assessment,edit_suggestion
"Sir Walter Elliot, of Kellynch Hall, in Somersetshire, was a man who, for his own amusement, never took up any book but the Baronetage; there he found occupation for an idle hour, and consolation in a distressed one; there his faculties were roused into admiration and respect, by contemplating the limited remnant of the earliest patents; there any unwelcome sensations, arising from domestic affairs changed naturally into pity and contempt as he turned over the almost endless creations of the last century; and there, if every other leaf were powerless, he could read his own history with an interest which never failed.",simplify by splitting the sentence into smaller parts then paraphrase each part for better clarity and readability.
"Then followed the history and rise of the ancient and respectable family, in the usual terms; how it had been first settled in Cheshire; how mentioned in Dugdale, serving the office of high sheriff, representing a borough in three successive parliaments, exertions of loyalty, and dignity of baronet, in the first year of Charles II, with all the Marys and Elizabeths they had married; forming altogether two handsome duodecimo pages, and concluding with the arms and motto:--""Principal seat, Kellynch Hall, in the county of Somerset,"" and Sir Walter's handwriting again in this finale:--
""Heir presumptive, William Walter Elliot, Esq., great grandson of the second Sir Walter.""
Vanity was the beginning and the end of Sir Walter Elliot's character; vanity of person and of situation.",simplify by splitting the sentence into smaller parts then paraphrase each part for better clarity and readability.
"He considered the blessing of beauty as inferior only to the blessing of a baronetcy; and the Sir Walter Elliot, who united these gifts, was the constant object of his warmest respect and devotion.",simplify by splitting the sentence into smaller parts then paraphrase each part for better clarity and readability.
His good looks and his rank had one fair claim on his attachment; since to them he must have owed a wife of very superior character to any thing deserved by his own.,simplify by splitting the sentence into smaller parts then paraphrase each part for better clarity and readability.
"Lady Elliot had been an excellent woman, sensible and amiable; whose judgement and conduct, if they might be pardoned the youthful infatuation which made her Lady Elliot, had never required indulgence afterwards.--She had humoured, or softened, or concealed his failings, and promoted his real respectability for seventeen years; and though not the very happiest being in the world herself, had found enough in her duties, her friends, and her children, to attach her to life, and make it no matter of indifference to her when she was called on to quit them.--Three girls, the two eldest sixteen and fourteen, was an awful legacy for a mother to bequeath, an awful charge rather, to confide to the authority and guidance of a conceited, silly father.",simplify by splitting the sentence into smaller parts then paraphrase each part for better clarity and readability.
"She had, however, one very intimate friend, a sensible, deserving woman, who had been brought, by strong attachment to herself, to settle close by her, in the village of Kellynch; and on her kindness and advice, Lady Elliot mainly relied for the best help and maintenance of the good principles and instruction which she had been anxiously giving her daughters.",simplify by splitting the sentence into smaller parts then paraphrase each part for better clarity and readability.
"That Lady Russell, of steady age and character, and extremely well provided for, should have no thought of a second marriage, needs no apology to the public, which is rather apt to be unreasonably discontented when a woman does marry again, than when she does not; but Sir Walter's continuing in singleness requires explanation.",simplify by splitting the sentence into smaller parts then paraphrase each part for better clarity and readability.
"Be it known then, that Sir Walter, like a good father, (having met with one or two private disappointments in very unreasonable applications), prided himself on remaining single for his dear daughters' sake.",simplify by splitting the sentence into smaller parts then paraphrase each part for better clarity and readability.
"Elizabeth had succeeded, at sixteen, to all that was possible, of her mother's rights and consequence; and being very handsome, and very like himself, her influence had always been great, and they had gone on together most happily.",simplify by splitting the sentence into smaller parts then paraphrase each part for better clarity and readability.
"Mary had acquired a little artificial importance, by becoming Mrs Charles Musgrove; but Anne, with an elegance of mind and sweetness of character, which must have placed her high with any people of real understanding, was nobody with either father or sister; her word had no weight, her convenience was always to give way--she was only Anne.",simplify by splitting the sentence into smaller parts then paraphrase each part for better clarity and readability.
